section,element,fontSize,color,url
1imgTxt,,48px,#636363,
2conEvaluate,,60px,#7b7b7b,
3continued,,24px,#4a90e2,
4clinicStudy,,72px,#4a90e2，
5quote,,24px,#4a4a4a,
6quote2,,20px,#4a4a4a,
